,brand,model,variant,price,year,mileage,transmission,fuel,colour
0,Abarth,595,595 Standard,"10,995",2018,"24,760.0",Manual,Petrol,Special solid - Gara white
1,Abarth,595,595 Standard,"13,295",2018,"10,700.0",Manual,Petrol,Special solid - Modena yellow
2,Abarth,595,595 Competizione,"15,495",2017,"19,683.0",Manual,Petrol,Unknown
3,Abarth,595,595 Standard,"12,995",2018,"13,503.0",Manual,Petrol,Unknown
4,Abarth,595,595 Turismo,"15,995",2019,"8,772.0",Manual,Petrol,Bi-Colour - Abarth red/circuit grey
5,Abarth,595,595 Standard,"10,595",2018,"40,106.0",Manual,Petrol,Unknown
6,Abarth,595,595 Standard,"14,000",2020,"8,423.0",Manual,Petrol,Special solid - Modena yellow
7,Abarth,595,595 Competizione,"15,990",2019,"21,200.0",Manual,Petrol,Special solid - Gara white
8,Abarth,595,595 Turismo,"13,690",2018,"11,696.0",Manual,Petrol,Metallic - Scorpione Black
9,Abarth,595,595 Standard,"13,750",2019,"13,058.0",Manual,Petrol,Unknown
10,Abarth,595,595 Turismo,"13,795",2018,"17,500.0",Manual,Petrol,Bi-Colour - Abarth red/circuit grey
11,Abarth,595,595 Standard,"11,990",2018,"18,820.0",Manual,Petrol,Unknown
12,Abarth,595,595 Standard,"10,995",2018,"24,760.0",Manual,Petrol,Special solid - Gara white
13,Abarth,595,595 Standard,"13,295",2018,"10,700.0",Manual,Petrol,Special solid - Modena yellow
14,Abarth,595,595 Competizione,"15,495",2017,"19,683.0",Manual,Petrol,Unknown
15,Abarth,595,595 Standard,"12,995",2018,"13,503.0",Manual,Petrol,Unknown
16,Abarth,595,595 Turismo,"15,995",2019,"8,772.0",Manual,Petrol,Bi-Colour - Abarth red/circuit grey
17,Abarth,595,595 Standard,"10,595",2018,"40,106.0",Manual,Petrol,Unknown
18,Abarth,595,595 Standard,"14,000",2020,"8,423.0",Manual,Petrol,Special solid - Modena yellow
19,Abarth,595,595 Competizione,"15,990",2019,"21,200.0",Manual,Petrol,Special solid - Gara white
20,Abarth,595,595 Turismo,"13,690",2018,"11,696.0",Manual,Petrol,Metallic - Scorpione Black
21,Abarth,595,595 Standard,"13,750",2019,"13,058.0",Manual,Petrol,Unknown
22,Abarth,595,595 Turismo,"13,795",2018,"17,500.0",Manual,Petrol,Bi-Colour - Abarth red/circuit grey
23,Abarth,595,595 Standard,"11,990",2018,"18,820.0",Manual,Petrol,Unknown
24,Abarth,595,595 Standard,"10,995",2018,"24,760.0",Manual,Petrol,Special solid - Gara white
25,Abarth,595,595 Standard,"13,295",2018,"10,700.0",Manual,Petrol,Special solid - Modena yellow
26,Abarth,595,595 Competizione,"15,495",2017,"19,683.0",Manual,Petrol,Unknown
27,Abarth,595,595 Standard,"12,995",2018,"13,503.0",Manual,Petrol,Unknown
28,Abarth,595,595 Turismo,"15,995",2019,"8,772.0",Manual,Petrol,Bi-Colour - Abarth red/circuit grey
29,Abarth,595,595 Standard,"10,595",2018,"40,106.0",Manual,Petrol,Unknown
30,Abarth,595,595 Standard,"14,000",2020,"8,423.0",Manual,Petrol,Special solid - Modena yellow
31,Abarth,595,595 Competizione,"15,990",2019,"21,200.0",Manual,Petrol,Special solid - Gara white
0,Abarth,595C,595C Standard,"16,995",2020,"7,400.0",Manual,Petrol,Unknown
0,Abarth,124 Spider,124 Spider Standard,"18,995",2018,"17,396.0",Automatic,Petrol,Solid - Turini 1975 White
1,Abarth,124 Spider,124 Spider Standard,"20,995",2018,"26,296.0",Manual,Petrol,Special metallic - Portogallo 1974 Grey
2,Abarth,124 Spider,124 Spider Standard,"22,395",2019,"23,159.0",Automatic,Petrol,Solid - Costa Brava 1972 Red
0,Abarth,695,695 70th Anniversary,"22,222",2020,"2,922.0",Manual,Petrol,Unknown
1,Abarth,695,695 70th Anniversary,"23,235",2020,"4,012.0",Manual,Petrol,Metallic - Scorpione Black
0,Alfa Romeo,Giulietta,Giulietta Tecnica,"11,099","27,400.0 miles",1.6,Diesel,5,Unknown
1,Alfa Romeo,Giulietta,Giulietta Sport,"14,499","8,950.0 miles",1.4,Petrol,5,Unknown
2,Alfa Romeo,Giulietta,Giulietta Sport,"12,990",2018,"13,000.0",Manual,Petrol,Special solid - Alfa White
3,Alfa Romeo,Giulietta,Giulietta Sport,"15,995",2018,"16,469.0",Manual,Petrol,Unknown
0,Alfa Romeo,Mito,Mito Speciale,"11,990",2017,"25,886.0",Manual,Petrol,Unknown
1,Alfa Romeo,Mito,Mito Veloce,"14,645",2018,"22,386.0",Automatic,Petrol,Solid - Alfa red
2,Alfa Romeo,Mito,Mito Super,"11,295",2017,"18,355.0",Manual,Petrol,Metallic - Etna black
0,Alfa Romeo,Giulia,Giulia Tecnica,"18,499","37,790.0 miles",2.1,Diesel,4,Unknown
1,Alfa Romeo,Giulia,Giulia Super,"22,999","9,990.0 miles",2.0,Petrol,4,Unknown
2,Alfa Romeo,Giulia,Giulia Tecnica,"17,200",2018,"51,641.0",Automatic,Diesel,Unknown
3,Alfa Romeo,Giulia,Giulia Super,"20,500",2018,"12,000.0",Automatic,Petrol,Unknown
4,Alfa Romeo,Giulia,Giulia Veloce,"21,990",2017,"37,000.0",Automatic,Petrol,Unknown
5,Alfa Romeo,Giulia,Giulia Sprint,"28,495",2021,"3,850.0",Automatic,Petrol,Metallic - Vesuvio grey
6,Alfa Romeo,Giulia,Giulia Veloce TI,"28,995",2020,"21,000.0",Automatic,Petrol,Unknown
7,Alfa Romeo,Giulia,Giulia Veloce TI,"31,995",2019,"19,555.0",Automatic,Petrol,Unknown
8,Alfa Romeo,Giulia,Giulia Veloce,"19,990",2019,"26,761.0",Automatic,Diesel,Solid - Alfa red
9,Alfa Romeo,Giulia,Giulia Super,"19,990",2019,"28,781.0",Automatic,Diesel,Unknown
10,Alfa Romeo,Giulia,Giulia Super,"25,990",2018,"18,873.0",Automatic,Petrol,Unknown
11,Alfa Romeo,Giulia,Giulia Veloce,"18,499","37,790.0 miles",2.1,Diesel,4,Unknown
12,Alfa Romeo,Giulia,Giulia Tecnica,"22,999","9,990.0 miles",2.0,Petrol,4,Unknown
13,Alfa Romeo,Giulia,Giulia Super,"17,200",2018,"51,641.0",Automatic,Diesel,Unknown
14,Alfa Romeo,Giulia,Giulia Tecnica,"20,500",2018,"12,000.0",Automatic,Petrol,Unknown
15,Alfa Romeo,Giulia,Giulia Super,"21,990",2017,"37,000.0",Automatic,Petrol,Unknown
16,Alfa Romeo,Giulia,Giulia Veloce,"28,495",2021,"3,850.0",Automatic,Petrol,Metallic - Vesuvio grey
17,Alfa Romeo,Giulia,Giulia Sprint,"28,995",2020,"21,000.0",Automatic,Petrol,Unknown
18,Alfa Romeo,Giulia,Giulia Veloce TI,"31,995",2019,"19,555.0",Automatic,Petrol,Unknown
0,Alfa Romeo,Stelvio,Stelvio Speciale,"26,499","16,080.0 miles",2.1,Diesel,5,Unknown
1,Alfa Romeo,Stelvio,Stelvio Speciale,"26,999","32,140.0 miles",2.1,Diesel,5,Unknown
2,Alfa Romeo,Stelvio,Stelvio Nero Edizione,"28,995",2019,"14,000.0",Automatic,Petrol,Special solid - Alfa White
3,Alfa Romeo,Stelvio,Stelvio Speciale,"29,295",2018,"16,880.0",Automatic,Petrol,Metallic - Montecarlo blue
4,Alfa Romeo,Stelvio,Stelvio Milano,"31,995",2019,"22,323.0",Automatic,Petrol,Unknown
5,Alfa Romeo,Stelvio,Stelvio Veloce,"41,995",2022,"3,500.0",Automatic,Diesel,Metallic - Vulcano black
6,Alfa Romeo,Stelvio,Stelvio Speciale,"29,550",2019,"21,175.0",Automatic,Petrol,Metallic - Montecarlo blue
7,Alfa Romeo,Stelvio,Stelvio Veloce,"40,950",2021,"10,290.0",Automatic,Petrol,Unknown
8,Alfa Romeo,Stelvio,Stelvio Veloce Ti,"48,950",2021,"3,800.0",Automatic,Petrol,Special solid - Alfa White
9,Alfa Romeo,Stelvio,Stelvio Speciale,"26,499","16,080.0 miles",2.1,Diesel,5,Unknown
10,Alfa Romeo,Stelvio,Stelvio Speciale,"26,999","32,140.0 miles",2.1,Diesel,5,Unknown
11,Alfa Romeo,Stelvio,Stelvio Nero Edizione,"28,995",2019,"14,000.0",Automatic,Petrol,Special solid - Alfa White
12,Alfa Romeo,Stelvio,Stelvio Speciale,"29,295",2018,"16,880.0",Automatic,Petrol,Metallic - Montecarlo blue
13,Alfa Romeo,Stelvio,Stelvio Milano,"31,995",2019,"22,323.0",Automatic,Petrol,Unknown
14,Alfa Romeo,Stelvio,Stelvio Veloce,"41,995",2022,"3,500.0",Automatic,Diesel,Metallic - Vulcano black
15,Alfa Romeo,Stelvio,Stelvio Speciale,"29,550",2019,"21,175.0",Automatic,Petrol,Metallic - Montecarlo blue
16,Alfa Romeo,Stelvio,Stelvio Veloce,"40,950",2021,"10,290.0",Automatic,Petrol,Unknown
0,Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio Quadrifoglio NRing,"51,995",2019,"16,928.0",Automatic,Petrol,Special solid - Circuit grey
1,Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio Quadrifoglio,"58,995",2021,"17,600.0",Automatic,Petrol,Metallic - Misano blue
2,Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio Quadrifoglio NRing,"48,495",2019,"31,254.0",Automatic,Petrol,Special solid - Circuit grey
3,Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio Quadrifoglio,"66,995",2021,"2,500.0",Automatic,Petrol,Metallic - Vulcano black
4,Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio Quadrifoglio,"66,995",2021,"2,500.0",Automatic,Petrol,Metallic - Vulcano black
0,Alfa Romeo,Stelvio Quadrifoglio,Stelvio Quadrifoglio Quadrifoglio,"50,995",2019,"19,883.0",Automatic,Petrol,Tri-coat - Trofeo white
1,Alfa Romeo,Stelvio Quadrifoglio,Stelvio Quadrifoglio Quadrifoglio,"55,990",2019,"8,248.0",Automatic,Petrol,Unknown
2,Alfa Romeo,Stelvio Quadrifoglio,Stelvio Quadrifoglio Quadrifoglio,"49,995",2019,"23,624.0",Automatic,Petrol,Unknown
0,Alfa Romeo,4C Spider,4C Spider 50th Anniversario,"55,499",2017,"9,027.0",Automatic,Petrol,Unknown
0,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,899","31,750.0 miles",1.4,Petrol,5,Unknown
1,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"13,699","11,160.0 miles",1.4,Petrol,5,Unknown
2,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,499","15,780.0 miles",1.4,Petrol,5,Unknown
3,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,699","18,299.0 miles",1.4,Petrol,5,Unknown
4,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"9,199","53,720.0 miles",1.6,Diesel,5,Unknown
5,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,999","39,860.0 miles",1.0,Petrol,5,Unknown
6,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"14,799","34,590.0 miles",1.4,Petrol,5,Unknown
7,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"14,899","25,880.0 miles",1.4,Petrol,5,Unknown
8,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"15,199","45,290.0 miles",1.4,Petrol,5,Unknown
9,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,199","13,650.0 miles",1.4,Petrol,5,Unknown
10,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"15,799","7,230.0 miles",1.4,Petrol,5,Unknown
11,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,999","14,870.0 miles",1.4,Petrol,5,Unknown
12,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,899","31,750.0 miles",1.4,Petrol,5,Unknown
13,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"13,699","11,160.0 miles",1.4,Petrol,5,Unknown
14,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,499","15,780.0 miles",1.4,Petrol,5,Unknown
15,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,699","18,299.0 miles",1.4,Petrol,5,Unknown
16,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"9,199","53,720.0 miles",1.6,Diesel,5,Unknown
17,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,999","39,860.0 miles",1.0,Petrol,5,Unknown
18,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"14,799","34,590.0 miles",1.4,Petrol,5,Unknown
19,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"14,899","25,880.0 miles",1.4,Petrol,5,Unknown
20,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"15,199","45,290.0 miles",1.4,Petrol,5,Unknown
21,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,199","13,650.0 miles",1.4,Petrol,5,Unknown
22,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"15,799","7,230.0 miles",1.4,Petrol,5,Unknown
23,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,999","14,870.0 miles",1.4,Petrol,5,Unknown
24,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,899","31,750.0 miles",1.4,Petrol,5,Unknown
25,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"13,699","11,160.0 miles",1.4,Petrol,5,Unknown
26,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,499","15,780.0 miles",1.4,Petrol,5,Unknown
27,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,699","18,299.0 miles",1.4,Petrol,5,Unknown
28,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"9,199","53,720.0 miles",1.6,Diesel,5,Unknown
29,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"11,999","39,860.0 miles",1.0,Petrol,5,Unknown
30,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"14,799","34,590.0 miles",1.4,Petrol,5,Unknown
31,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"14,899","25,880.0 miles",1.4,Petrol,5,Unknown
32,Audi,A1 Sportback (2015-2017),A1 Sportback S Line,"15,199","45,290.0 miles",1.4,Petrol,5,Unknown
33,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,199","13,650.0 miles",1.4,Petrol,5,Unknown
34,Audi,A1 Sportback (2015-2017),A1 Sportback Sport,"15,799","7,230.0 miles",1.4,Petrol,5,Unknown
35,Audi,A1 Sportback (2015-2017),A1 Sportback Sport Nav,"15,999","14,870.0 miles",1.4,Petrol,5,Unknown
