fuel,odometer,paint color,transmission,year,brand,model,variant,price
2,121500,11,0,2011,182,452,1703,6300
2,195000,11,0,2002,131,1160,45,3800
2,142000,10,0,2007,311,887,1658,2800
2,152250,8,0,2009,201,1156,72,14000
2,208000,10,0,2013,132,756,1658,4800
2,170000,10,1,2003,311,646,1658,3600
2,45000,8,0,2004,132,441,625,22900
2,62000,0,0,2010,182,579,1658,34995
2,220000,9,0,2007,259,1078,1261,9000
2,5200,8,0,2021,150,432,1658,115000
2,123000,10,0,1993,109,1053,1658,1200
2,193000,11,0,2005,201,1315,1658,3500
2,70000,1,0,2007,182,591,1658,799
2,13600,11,0,2019,99,82,1658,39000
0,342663,5,1,2006,238,113,742,45000
2,42000,11,0,2018,327,981,1658,67000
2,185000,11,0,2008,182,562,1787,4450
0,230000,11,0,2005,201,1156,289,6000
2,230000,10,0,2002,132,1160,1658,12000
2,91000,1,0,2014,390,437,1658,13800
2,195000,10,0,2011,390,256,1658,9600
2,117000,10,0,2007,222,220,1658,4600
2,70000,9,0,1978,260,1315,1658,32500
2,114000,10,0,2013,287,285,1658,8000
2,150000,10,0,2007,222,220,1658,5800
2,119000,0,0,2000,291,924,1209,5200
2,196800,0,0,2007,131,1160,45,11500
2,63000,5,0,2007,390,437,1658,8200
2,168302,9,0,2003,371,967,1658,6895
2,130200,0,0,2012,262,723,329,25000
0,653867,8,1,2014,149,1315,1658,75000
2,114200,8,0,2007,390,353,1778,10000
2,199068,10,0,2006,245,421,1658,5000
2,152000,9,0,2006,390,1307,1658,8800
2,165000,10,0,2005,99,69,625,8500
2,200000,10,0,2009,371,967,1658,4500
2,129000,10,0,2014,411,781,1658,8500
2,192000,8,0,2013,131,347,1658,8000
2,110000,10,0,2012,77,1266,1658,10500
0,128000,10,0,2006,182,596,1537,20000
2,305622,10,0,1991,245,380,1029,3000
0,200000,8,1,2004,161,1039,1658,27000
2,162000,10,0,2009,131,413,1083,3500
2,170000,0,0,2012,132,455,1658,7500
2,24759,0,0,2003,116,561,1658,2900
2,95500,5,0,2014,390,1307,1503,33990
2,85335,10,0,1994,390,811,1658,29000
0,265560,11,0,2007,132,1160,199,24500
2,182300,0,0,2009,99,75,1750,6400
2,169536,1,0,2004,131,756,1658,1900
2,195023,10,0,1998,437,1175,45,4000
2,118117,10,0,1997,161,378,1230,4000
2,156000,10,0,2015,311,233,1658,6850
0,253000,11,0,2000,182,580,1658,30000
2,105000,11,0,2012,390,1307,1658,27000
2,192000,1,0,1992,131,1160,45,7500
0,832000,10,1,1995,319,99,1658,15000
2,1,10,0,2003,390,353,1041,2950
2,51800,9,0,2014,390,131,1658,33995
2,15200,12,0,2005,311,94,1658,18900
2,155400,9,0,2004,262,559,1658,6900
2,128000,9,0,2012,182,1250,1375,6800
2,160000,8,0,2010,390,437,1308,5900
2,106000,0,0,2016,267,937,1658,24900
2,315628,11,0,2005,131,1160,1658,6500
2,100000,11,1,1976,390,809,666,28000
2,25000,0,0,2008,324,1178,1658,17500
2,229000,2,0,2013,132,1249,1083,11500
2,113000,5,0,2013,182,562,1658,6000
2,101981,11,0,1998,182,510,1658,5800
2,155000,1,0,2003,222,220,1103,4500
2,170000,10,0,2005,311,646,1658,9000
2,1000000,5,0,2012,182,579,1658,13999
2,169000,0,0,2006,262,559,1658,5500
2,131000,9,1,2006,182,932,931,9500
2,19200,8,1,2016,131,441,1807,72500
2,55200,9,0,2016,390,1049,1658,17500
2,85000,11,0,2016,182,580,1658,25900
0,540116,11,1,2012,190,365,159,44500
2,110000,11,0,2007,132,1160,1658,11450
1,1,0,0,2021,52,987,1658,24000
2,86000,9,0,2008,287,285,1151,13500
2,51000,9,1,2016,182,615,1658,6100
2,174000,9,0,2005,222,992,825,5200
2,193000,10,0,1998,245,706,560,11500
2,202641,6,0,2007,300,533,1658,4000
2,27300,5,0,2016,288,523,637,36999
2,52272,10,0,1992,131,1428,552,6990
2,1000000,10,0,1964,322,1324,1658,5500
0,102000,11,1,1989,131,339,1658,5000
2,192000,1,0,2003,99,74,20,2500
2,17000,10,0,2013,116,251,1658,22500
2,40000,11,0,2018,300,968,1658,23900
2,139,5,0,2010,416,1077,1357,5599
2,299000,0,0,2002,390,131,1503,5900
2,72412,11,0,2015,311,233,135,16000
2,150000,11,0,2009,287,285,492,7500
0,768000,5,0,2008,319,104,1658,29500
2,133000,9,0,2015,182,320,984,7500
2,149000,0,0,2001,327,298,1658,11830
2,100000,3,0,1969,182,932,1658,4200
2,218000,11,0,1995,182,303,1658,20000
2,92000,8,0,2007,390,1247,1658,18750
2,13000,8,0,2012,131,347,1658,27500
2,136000,9,1,2015,132,877,1658,11400
2,59000,5,0,2018,182,591,354,26000
0,339000,11,0,2012,182,582,1658,35000
2,164141,5,0,2014,390,1003,996,13410
2,100000,10,1,1939,132,1143,1658,2200
2,121000,1,0,2005,161,505,1658,1500
2,151000,11,0,2000,245,380,1658,7500
2,251000,8,0,1991,131,1315,1658,4600
2,160000,11,0,1993,245,380,1658,4500
2,59000,11,0,2016,182,579,1035,62999
2,146000,9,0,2005,291,922,1658,4900
2,11111,8,1,1948,131,627,1658,34000
2,37500,9,0,2010,416,1263,1658,15000
2,17589,0,0,2020,390,1247,1658,39900
0,21000,0,0,1987,81,686,1123,25000
0,139000,2,0,1981,287,285,248,13000
2,202000,0,0,2013,222,392,1103,6000
2,148215,10,0,2008,132,1249,1812,8400
2,58000,5,0,2013,390,437,1658,15500
2,20000,10,1,1980,390,739,1658,8500
2,208057,1,0,2012,222,992,1658,7999
2,136000,0,0,2009,131,1160,199,25500
